67,69  25,25
99,13
8,47
17,1
2,14
39,65
11,35
40,8
62,89
96,23
97,06
96,5
14,53
94,66
29,64
3,86
50,37
44,85
59,93
76,39
98,92
6,77
30,5
80,89
27,69
58,51
52,75
58,34
69,42
90,95
92,0
8,47
97,69
99,03
93,45
73,82
56,81
86,42
56,25
19,23
18,5
56,77
47,14
85,22
75,19
55,15
41,61
59,59
78,14
41,49
83,78
64,5
95,93
88,02
42,98
11,14
95,95
57,84
53,14
18,91
64,0
98,48
48,11
94,51
84,97
40,5
79,57
70,37
25,84
88,17
43,8
79,96
10,65
76,02
5,26
67,36
65,5
24,37
26,17
96,22
9,78
70,39
12,54
28,66
68,24
81,98
27,27
3,86
24,92
90,29
84,98
36,89
82,09
54,16
90,63
46,58
18,93
23,79
47,53
7,86
79,73
3,52
32,87
87,19
91,77
9,0
64,47
6,49
74,23
47,64
85,56
62,83
78,95
8,68
18,56
60,71
16,37
68,23
86,99
20,78
77,2
15,61
65,59
57,58
71,68
92,43
29,37
22,03
40,95
52,64
59,05
9,83
75,08
77,95
36,46
8,23
35,3
7,95
52,23
24,69
7,28
43,97
25,45
8,86
93,91
68,92
35,79
56,77
17,29
97,75
29,46
14,63
1,39
19,72
26,38
65,52
86,56
68,2
59,94
14,83
58,63
3,19
78,66
55,05
91,26
29,89
34,06
82,13
60,76
64,58
22,76
40,48
30,24
37,26
27,5
79,81
42,85
44,37
19,41
96,7
8,49
59,11
72,11
12,16
33,23
71,32
65,21
70,3
57,49
87,09
61,62
94,52
78,66
24,9
70,48
99,53
48,89
19,88
73,27
7,41
62,26
33,86
95,94
81,18
37,79
44,19
55,29
45,75
59,65
20,09
66,21
37,85
59,12
68,74
53,28
63,81
37,61
67,05
94,52
66,06
45,62
35,19
25,46
61,33
88,48
69,09
1,42
30,9
75,33
46,24
45,32
90,78
3,03
52,46
65,0
9,48
13,73
58,65
66,71
32,68
19,15
33,2
68,17
68,74
90,73
20,26
19,5
65,08
80,67
4,5
99,79
29,59
58,16
36,75
47,28
61,21
11,32
14,48
47,0
60,11
36,18
40,91
90,5
33,21
18,54
6,98
23,65
55,3
91,78
76,95
76,47
15,9
64,91
87,77
36,6
4,73
2,95
5,19
92,48
84,7
81,57
38,9
6,4
82,51
29,14
96,25
63,01
29,44
35,84
81,07
35,93
67,64
55,83
82,41
7,72
98,33
55,48
2,56
11,91
49,53
79,38
8,58
63,09
38,59
44,17
9,67
15,47
5,98
78,7
81,5
45,69
98,07
11,66
45,95
5,53
73,26
66,74
26,49
98,79
41,14
36,99
33,82
37,63
20,63
39,4
94,73
79,93
83,67
7,21
53,03
86,94
48,46
41,02
35,04
23,04
68,59
66,88
5,0
39,01
13,54
17,43
69,24
88,57
20,11
32,81
35,99
28,04
79,92
79,95
8,7
48,44
68,98
22,8
39,47
70,65
98,48
67,75
53,6
41,71
35,36
22,08
88,66
70,06
71,56
71,66
86,94
85,17
70,91
56,94
85,1
9,57
38,52
82,37
30,07
85,19
71,24
72,02
78,89
91,16
25,64
94,86
20,7
4,28
62,38
66,7
90,96
4,33
10,77
73,55
50,99
2,58
9,52
51,71
22,33
1,1
35,74
4,88
48,98
79,04
26,25
25,08
59,11
14,44
85,1
39,02
82,68
95,02
64,74
36,76
30,76
80,04
31,13
41,26
22,14
82,66
32,43
47,45
52,92
17,42
9,07
55,08
17,79
45,15
33,07
89,88
22,56
39,64
64,98
39,57
17,36
91,18
61,19
88,19
71,44
4,54
83,82
99,89
98,16
3,14
85,68
79,04
15,42
18,03
83,45
87,17
52,34
44,84
84,12
37,85
16,51
95,4
7,29
46,63
91,27
91,42
92,21
